Threshold 18   

Day               	Logins            	Time online       	Emails sent       	Emails opened     	Emails deleted    	Total Anomally    	Status            
1                 	1.2821            	5.8212            	0.6711            	0.6637            	0.9649            	9.403             	Okay              
2                 	1.2821            	0.522             	0.3356            	0.4425            	0.7895            	3.3716999999999997	Okay              
3                 	1.2821            	3.0348            	0.6711            	0.6637            	0.7895            	6.4412            	Okay              
4                 	2.5641            	2.9016            	1.3423            	1.3274            	2.7193            	10.854700000000001	Okay              
5                 	2.5641            	1.2048            	1.0067            	1.1062            	1.8421            	7.7239            	Okay              
6                 	2.5641            	0.3564            	1.0067            	1.1062            	2.5439            	7.577299999999999 	Okay              
7                 	1.2821            	3.4788            	0.6711            	0.6637            	0.7895            	6.885200000000001 	Okay              
8                 	1.2821            	1.9956            	0.6711            	0.6637            	0.9649            	5.577400000000001 	Okay              
9                 	2.5641            	3.0648            	1.6779            	1.5487            	3.4211            	12.276599999999998	Okay              
10                	1.2821            	1.4664            	0.6711            	0.6637            	1.8421            	5.9254            	Okay              
