Day         	Logins      	Time online 	Emails sent 	Emails opened	Emails deleted
1           	3           	199.01      	8           	9           	6           
2           	5           	146.15      	11          	14          	8           
3           	5           	125.21      	12          	15          	8           
4           	2           	174.68      	6           	6           	4           
5           	2           	160.54      	7           	7           	5           
6           	6           	147.53      	13          	17          	10          
7           	5           	121.51      	12          	15          	8           
8           	3           	167.13      	8           	9           	6           
9           	6           	124.96      	15          	19          	11          
10          	3           	138.28      	8           	9           	5           
